Date,Open,High,Low,Close,Volume
2022-09-10,21361.62,21391.65,21163.25,21258.74,18546.09215
2022-09-11,21647.21,21682.6,21537.58,21548.91,10049.83834
2022-09-12,21826.87,21855.51,21632.89,21637.99,14759.33137
2022-09-13,22395.44,22445.86,22106.66,22213.49,16484.36275
2022-09-14,20173.62,20220.38,20042.15,20198.49,13176.18185
2022-09-15,20227.17,20270.61,20140.5,20157.77,11767.68243
2022-09-16,19701.88,19788.74,19582.05,19786.41,14350.93747
2022-09-17,19803.3,20071.09,19770,19948.03,12494.33356
2022-09-18,20112.61,20117.26,19949.95,19982.96,9901.5095
2022-09-19,19417.45,19518.17,19389.72,19458.2,9285.13628
2022-09-20,19537.02,19634.62,19432.66,19516.89,13764.63947
2022-09-21,18874.31,18958.35,18829.3,18933.62,10708.67863
2022-09-22,18461.36,18548.55,18356.39,18389.22,16250.51153
2022-09-23,19401.63,19467,19304.03,19307.46,12093.7499
2022-09-24,19288.57,19316.14,19070.61,19146.12,15461.74283
2022-09-25,18921.99,18984.78,18913.43,18963.13,9778.47552
2022-09-26,18809.13,18932.35,18746.66,18772.96,16884.71629
2022-09-27,19226.68,19373,19187.63,19346.3,21563.77657
2022-09-28,19078.1,19238.28,19070.22,19096.83,21441.13215
2022-09-29,19412.82,19529.04,19371.52,19437.99,16346.13095
2022-09-30,19590.54,19700,19431.25,19545.35,21508.671
2022-10-01,19422.61,19484,19351.02,19402.88,8651.64878
2022-10-02,19312.24,19327.28,19236,19277.97,6865.86884
2022-10-03,19057.74,19129,18959.68,19091.24,15658.25952
2022-10-04,19629.08,19722.6,19528.97,19562.41,11460.82003
2022-10-05,20337.82,20365.6,20142.95,20181.95,13861.29955
2022-10-06,20158.26,20389,20140.38,20266.82,19585.37474
2022-10-07,19960.67,20054.41,19940.9,19990,7425.95908
2022-10-08,19530.09,19627.38,19514.3,19569.31,4622.9799
2022-10-09,19416.52,19455,19382.28,19395.67,4824.04633
2022-10-10,19439.96,19521.58,19401,19491.42,7068.03061
2022-10-11,19131.87,19133.52,18950.01,19045.22,17499.99661
2022-10-12,19060,19132.93,19024.65,19092.17,10190.57131
2022-10-13,19155.1,19175.13,19126.67,19148.33,5305.36655
2022-10-14,19375.58,19445.96,19338.07,19407.66,10964.11453
2022-10-15,19176.93,19227.68,19171.87,19200.86,4978.42383
2022-10-16,19068.4,19146.07,19063.74,19139.32,5284.07914
2022-10-17,19262.98,19309.06,19208.59,19230.44,7352.58682
2022-10-18,19548.48,19614.16,19506.73,19596.34,8413.31718
2022-10-19,19327.44,19360.16,19230,19234,8140.58971
2022-10-20,19123.35,19165.34,18900,18972.69,11705.65906
2022-10-21,19041.92,19066.23,18999,19049.62,8370.34035
2022-10-22,19164.37,19179.61,19147.64,19164.71,4479.4438
2022-10-23,19204.29,19219.76,19189.74,19195.63,3435.8321
2022-10-24,19570.4,19601.15,19491.84,19518.82,13256.66937
2022-10-25,19330.6,19339.6,19276.35,19308.75,6441.26261
2022-10-26,20079.02,20175.99,20050.41,20167.02,12223.51304
2022-10-27,20771.61,20847.9,20716.17,20754.53,10044.23968
2022-10-28,20295.11,20337.8,20160,20284.81,14614.51358
2022-10-29,20591.84,20627.32,20554.01,20621.49,6239.40858
2022-10-30,20809.68,20841.11,20701.15,20710.57,7632.03366
2022-10-31,20627.48,20675,20534,20542.43,10339.18383
2022-11-01,20490.74,20505.62,20440.64,20456.57,10863.93121
2022-11-02,20482.81,20540.7,20407.66,20518.48,13224.31791
2022-11-03,20151.84,20222.33,20120,20203.49,11725.14694
2022-11-04,20207.12,20309.65,20180.96,20280.23,14798.08192
2022-11-05,21148.52,21460.01,21080.65,21434.33,22685.78516
2022-11-06,21299.37,21365.27,21290.8,21325.19,10223.35957
2022-11-07,20905.58,20952,20836.74,20899.11,17920.5649
2022-11-08,20590.67,20629.67,20499.22,20514.25,13374.87694
2022-11-09,18545.38,18587.76,18325,18335.76,20443.31011
2022-11-10,15922.68,16342.64,15754.26,16272.46,39237.27879
2022-11-11,17602.45,17660,17404.87,17553.81,14572.88485
2022-11-12,17069.98,17119.1,16857.86,16901.29,11784.41932
2022-11-13,16813.16,16886,16774.07,16842.6,5163.90056
2022-11-14,16331.78,16411.99,16100,16259.64,13796.72522
2022-11-15,16617.72,16682.09,16535,16565.14,11219.2015
2022-11-16,16900.57,16935.39,16765.64,16786.29,10681.38595
2022-11-17,16661.61,16751,16654,16702.61,8533.6751
2022-11-18,16692.56,16971.99,16682.06,16950.74,19625.25803
2022-11-19,16699.43,16708.77,16662.26,16664.26,3705.2081
2022-11-20,16700.68,16738.77,16686.51,16719.98,4362.93277
2022-11-21,16279.5,16295,16123.01,16268.73,14167.43968
2022-11-22,15781.29,15967.76,15746.16,15866.48,12895.32049
2022-11-23,16227.96,16261.58,16168.26,16183.16,7944.06412
2022-11-24,16603.11,16627.06,16533.65,16564.07,8239.06493
2022-11-25,16599.55,16622.64,16510.46,16528.79,10622.54512
2022-11-26,16521.35,16591.03,16509.6,16579.5,8474.38887
2022-11-27,16457.61,16503.91,16446.59,16462.67,8047.14353
2022-11-28,16428.77,16487.04,16417,16446.79,8075.56504
2022-11-29,16212.18,16224.83,16100,16179.02,11394.99817
2022-11-30,16442.91,16899.1,16428.3,16845.72,25348.71369
2022-12-01,17165.53,17236.29,17122.65,17161.55,14452.68614
2022-12-02,16978,17046.45,16951.46,17037.82,10772.38556
2022-12-03,17092.13,17188.98,17038,17047.93,10277.28688
2022-12-04,16885.2,16967.53,16878.25,16948.14,8391.06666
2022-12-05,17106.65,17268.38,17076.85,17216.15,15110.64538
2022-12-06,16966.35,17050.61,16965.98,17043.86,8861.21844
2022-12-07,17088.96,17142.21,17046.43,17064.79,11344.99112
2022-12-08,16836.64,16890.01,16810,16812.53,9565.38523
2022-12-09,17224.1,17259,17186.5,17204.52,9103.9291
2022-12-10,17128.56,17169.09,17120.77,17152.88,7644.13824
2022-12-11,17127.49,17146.8,17121.92,17141.07,4326.37555
2022-12-12,17085.05,17087.67,16929.65,16950.25,22100.65014
2022-12-13,17208.93,17238.7,17145,17159.1,8415.219
2022-12-14,17775.82,17834.05,17750,17818.88,8037.97438
2022-12-15,17804.01,17854.82,17783.03,17792.15,6716.73147
2022-12-16,17356.96,17428,17345.15,17427.46,8981.49304
2022-12-17,16631.5,16729.32,16600.31,16705.54,10866.95287
2022-12-18,16777.54,16784.8,16721.74,16747.07,4432.82634
2022-12-19,16739,16815.99,16715.44,16775.24,6453.74056
2022-12-20,16438.88,16480,16397.2,16462.01,8851.22522
2022-12-21,16896.15,16925,16815.26,16841.07,8529.76448
2022-12-22,16824.68,16858.98,16809.78,16856.85,6190.06475
2022-12-23,16821.9,16832.76,16770,16781.5,6076.53214
2022-12-24,16778.52,16816.62,16776.62,16805.92,3572.43796
2022-12-25,16835.73,16847.97,16830.61,16843.95,3576.71411
2022-12-26,16832.11,16837.48,16820.75,16831.48,3849.75517
2022-12-27,16919.39,16972.83,16839,16870.39,12938.13967
2022-12-28,16706.06,16724.69,16667.28,16686.23,6210.69991
2022-12-29,16547.32,16594,16540.65,16583.19,6641.68391
2022-12-30,16633.47,16648.77,16617.74,16629.52,5016.96426
2022-12-31,16607.48,16616.37,16578,16580.32,4264.25848
2023-01-01,16541.77,16545.7,16508.39,16529.67,4364.8357
2023-01-02,16617.17,16629.05,16581.25,16588.35,4327.06948
2023-01-03,16672.78,16706.14,16647.81,16695.59,5684.61483
2023-01-04,16675.65,16677.15,16652.66,16660.53,4922.78018
2023-01-05,16850.36,16878.18,16827.24,16828.45,6623.10938
2023-01-06,16831.85,16872.57,16825.85,16859.78,6280.9838
2023-01-07,16950.31,16979.38,16930.46,16978.18,5467.28682
2023-01-08,16943.83,16955,16911,16926.66,6117.02466
2023-01-09,17127.83,17199,17104.66,17184.51,16663.49596
2023-01-10,17179.04,17220.29,17178.19,17219.19,7195.9706
2023-01-11,17440.64,17502.83,17428.37,17466.02,8526.37461
2023-01-12,17943.26,18297.37,17907.25,18264.1,29755.53326
2023-01-13,18846.62,18887,18714.12,18771.61,14571.89741
2023-01-14,19930.01,21258,19888.05,20891.67,66759.62394
2023-01-15,20952.76,21001.84,20623.21,20767.05,14735.14851
2023-01-16,20872.99,20999.25,20770.2,20966.58,10746.9633
2023-01-17,21185.65,21299.04,21064.56,21109.52,16464.46502
2023-01-18,21132.29,21242.55,21103.15,21202.97,9357.75343
2023-01-19,20677.47,20764.64,20660.15,20694.01,10490.32223
2023-01-20,21071.59,21121.42,21028.95,21054.74,9394.96625
2023-01-21,22666,22792.86,22422,22576.17,20472.4438
2023-01-22,22783.35,22979.88,22700.06,22877.48,12868.12927
2023-01-23,22706.02,22811.15,22660.67,22745.28,11526.99258
2023-01-24,22917.81,23009.79,22864.67,22986.44,11074.85309
2023-01-25,22631.94,22715.06,22498,22652.23,17892.84686
2023-01-26,23060.42,23282.47,23041.14,23240.42,16188.12884
2023-01-27,23009.65,23076.62,22897.02,22925.5,10025.55781
2023-01-28,23074.16,23189,23042.54,23151.84,8247.18867
2023-01-29,23021.4,23145.38,22967.76,23112.95,9049.12052
2023-01-30,23743.37,23800.51,23683.96,23751.43,10261.83669
2023-01-31,22827.38,22877.45,22714.77,22828.32,11523.71022
