Date,B,A,ratio,Price,Open,High,Low,Vol.,Change %,kimchi_premium
2019-11-05,10720000,9392.4,1141.3483241769943,"1,155.82",1163.02,"1,163.30","1,153.94",,-0.60%,-0.018633966589573392
2019-11-06,10815000,9307.73,1161.9374433938244,"1,160.41",1156.82,"1,162.59","1,155.35",,0.40%,0.004423716216718665
2019-11-07,10687000,9339.16,1144.321330826327,"1,154.31",1161.6,"1,163.28","1,152.73",,-0.53%,-0.014874887374029644
2019-11-08,10525000,9214.0,1142.283481658346,"1,158.60",1155.31,"1,159.91","1,153.73",,0.37%,-0.011275344575615076
2019-11-11,10226000,9040.16,1131.1746694748765,"1,164.45",1158.7,"1,167.35","1,157.88",,0.50%,-0.023755355592580907
2019-11-12,10177000,8733.36,1165.30178533806,"1,165.53",1165.46,"1,166.98","1,159.85",,0.09%,-0.00013575297473966685
2019-11-13,10222000,8821.91,1158.7059945068586,"1,171.09",1166.53,"1,174.15","1,164.84",,0.48%,-0.006707076108751098
2019-11-14,10063000,8777.54,1146.448777220041,"1,168.08",1171.48,"1,173.17","1,168.19",,-0.26%,-0.02136717893601181
2019-11-15,10063000,8646.38,1163.8396646920446,"1,162.65",1169.08,"1,169.90","1,163.06",,-0.46%,-0.004482443723231366
2019-11-18,9879000,8502.87,1161.8430012454617,"1,166.23",1163.7,"1,168.16","1,162.19",,0.31%,-0.0015957710359528754
2019-11-19,9536000,8186.5,1164.8445611677762,"1,167.35",1167.23,"1,170.67","1,165.31",,0.10%,-0.0020436750530947734
2019-11-20,9472000,8133.83,1164.5190519103546,"1,169.82",1168.35,"1,172.71","1,167.33",,0.21%,-0.0032789387509267742
2019-11-21,9351000,8098.56,1154.6497155049783,"1,176.45",1170.82,"1,179.55","1,169.80",,0.57%,-0.01381107642081758
2019-11-22,8907000,7627.79,1167.7038827760073,"1,179.33",1176.74,"1,181.02","1,174.97",,0.24%,-0.007678941162867492
2019-11-25,7930000,6900.23,1149.237054417027,"1,172.90",1180.75,"1,180.76","1,172.68",,-0.55%,-0.026688922788882574
2019-11-26,8423000,7109.99,1184.6711458103316,"1,172.42",1173.9,"1,179.05","1,170.20",,-0.04%,0.009175522455346696
2019-11-27,8229000,7154.75,1150.1450085607464,"1,175.97",1173.32,"1,178.86","1,172.24",,0.30%,-0.0197516376088821
2019-11-28,8736000,7507.9,1163.5743683320236,"1,178.09",1176.98,"1,181.04","1,175.86",,0.18%,-0.011389855110517155
2019-11-29,8775000,7418.52,1182.8504876983548,"1,180.70",1178.82,"1,182.76","1,177.56",,0.22%,0.0034190866276062604
2019-12-02,8476000,7391.5,1146.7225867550565,"1,184.78",1181.42,"1,187.30","1,177.71",,0.35%,-0.029369244845138587
2019-12-03,8636000,7294.42,1183.9186665972072,"1,189.36",1185.78,"1,194.02","1,183.86",,0.39%,-0.001569712259266276
2019-12-04,8541000,7292.71,1171.1695652233532,"1,191.15",1189.77,"1,196.20","1,188.67",,0.15%,-0.015633639087089812
2019-12-05,8689000,7194.59,1207.7130176980204,"1,187.92",1191.35,"1,193.38","1,187.43",,-0.27%,0.01373485348388015
2019-12-06,8660000,7389.0,1172.012450940587,"1,185.51",1188.92,"1,192.69","1,185.54",,-0.20%,-0.014220930810662558
2019-12-09,8789000,7510.11,1170.2891169370355,"1,189.55",1186.01,"1,192.81","1,185.86",,0.34%,-0.01325527024474038
2019-12-10,8613000,7338.64,1173.650703672615,"1,189.49",1190.54,"1,194.32","1,189.19",,-0.01%,-0.014186248532082057
2019-12-11,8535000,7224.15,1181.4538734660823,"1,188.61",1190.49,"1,195.58","1,189.15",,-0.07%,-0.007590258241495285
