datetime,symbol,open,high,low,close,volume
2016-03-07 09:00:00,BITSTAMP:BTCUSD,406.15,421.91,403.03,413.04,35522.59984296
2016-03-14 09:00:00,BITSTAMP:BTCUSD,412.99,419.0,403.34,411.28,28681.41428697
2016-03-21 09:00:00,BITSTAMP:BTCUSD,410.62,419.0,406.5,416.64,19082.60903897
2016-03-28 09:00:00,BITSTAMP:BTCUSD,424.62,424.77,407.22,419.11,24971.10193465
2016-04-04 09:00:00,BITSTAMP:BTCUSD,418.51,423.99,412.0,418.36,21245.4044318
2016-04-11 09:00:00,BITSTAMP:BTCUSD,420.4,432.87,377.87,427.42,22354.82626638
2016-04-18 09:00:00,BITSTAMP:BTCUSD,427.15,470.02,378.98,460.02,34850.340012
2016-04-25 09:00:00,BITSTAMP:BTCUSD,460.03,469.87,393.15,453.0,27251.8978701
2016-05-02 09:00:00,BITSTAMP:BTCUSD,452.99,463.97,438.59,458.21,26993.04077955
2016-05-09 09:00:00,BITSTAMP:BTCUSD,457.75,464.79,447.38,457.56,21889.61596062
2016-05-16 09:00:00,BITSTAMP:BTCUSD,457.56,458.0,435.0,438.8,22944.61523209
2016-05-23 09:00:00,BITSTAMP:BTCUSD,438.72,540.0,436.4,517.84,46135.44144764
2016-05-30 09:00:00,BITSTAMP:BTCUSD,517.6,588.71,510.01,573.91,47957.46871422
2016-06-06 09:00:00,BITSTAMP:BTCUSD,573.8,683.02,563.0,672.13,39798.13796659
2016-06-13 09:00:00,BITSTAMP:BTCUSD,668.73,778.85,655.0,761.44,74852.81699909
2016-06-20 09:00:00,BITSTAMP:BTCUSD,759.12,763.99,540.17,657.79,104143.95399672
2016-06-27 09:00:00,BITSTAMP:BTCUSD,630.16,704.99,618.03,658.27,49986.59694241
2016-07-04 09:00:00,BITSTAMP:BTCUSD,659.77,682.36,605.5,648.76,38661.74847759
2016-07-11 09:00:00,BITSTAMP:BTCUSD,648.77,684.19,639.31,679.54,24577.20663534
2016-07-18 09:00:00,BITSTAMP:BTCUSD,679.54,682.21,645.0,661.47,18737.11457925
2016-07-25 09:00:00,BITSTAMP:BTCUSD,659.64,661.99,614.97,623.83,17468.27632279
2016-08-01 09:00:00,BITSTAMP:BTCUSD,622.5,630.0,465.28,592.47,65343.91798719
2016-08-08 09:00:00,BITSTAMP:BTCUSD,592.47,603.0,556.24,568.76,22051.03813641
2016-08-15 09:00:00,BITSTAMP:BTCUSD,568.76,583.99,552.3,577.55,25677.59997265
2016-08-22 09:00:00,BITSTAMP:BTCUSD,577.55,585.95,564.81,573.2,23525.50450765
2016-08-29 09:00:00,BITSTAMP:BTCUSD,573.2,609.05,566.86,603.72,25116.71917695
2016-09-05 09:00:00,BITSTAMP:BTCUSD,605.72,628.99,592.46,606.32,26822.90990208
2016-09-12 09:00:00,BITSTAMP:BTCUSD,604.08,610.69,601.1,608.0,18000.02840779
2016-09-19 09:00:00,BITSTAMP:BTCUSD,608.0,609.5,592.1,598.98,17473.75618523
2016-09-26 09:00:00,BITSTAMP:BTCUSD,598.95,614.28,596.1,608.6,17480.03541049
2016-10-03 09:00:00,BITSTAMP:BTCUSD,608.6,616.99,604.99,613.06,15682.32731974
2016-10-10 09:00:00,BITSTAMP:BTCUSD,612.12,642.0,612.12,638.97,21232.50503502
2016-10-17 09:00:00,BITSTAMP:BTCUSD,638.97,656.0,624.13,648.74,23129.99591567
2016-10-24 09:00:00,BITSTAMP:BTCUSD,648.71,717.99,640.0,697.23,33380.1284258
2016-10-31 09:00:00,BITSTAMP:BTCUSD,697.1,745.19,670.32,709.93,37188.97620699
2016-11-07 09:00:00,BITSTAMP:BTCUSD,709.92,740.86,683.23,700.38,35418.39312969
2016-11-14 09:00:00,BITSTAMP:BTCUSD,700.38,755.07,697.14,727.09,43254.63053263
2016-11-21 09:00:00,BITSTAMP:BTCUSD,727.09,750.0,722.3,727.32,26673.41090692
2016-11-28 09:00:00,BITSTAMP:BTCUSD,727.32,778.07,721.0,762.0,36581.17352873
2016-12-05 09:00:00,BITSTAMP:BTCUSD,762.0,774.12,743.0,768.97,28520.87983248
2016-12-12 09:00:00,BITSTAMP:BTCUSD,768.97,793.27,765.1,788.67,21477.81845389
2016-12-19 09:00:00,BITSTAMP:BTCUSD,788.34,920.0,787.01,890.67,56709.60192418
2016-12-26 09:00:00,BITSTAMP:BTCUSD,890.65,1005.0,888.0,997.75,52597.39938604
2017-01-02 09:00:00,BITSTAMP:BTCUSD,997.75,1139.89,812.28,909.75,130728.25835107
2017-01-09 09:00:00,BITSTAMP:BTCUSD,909.8,918.4,751.34,821.86,92826.21566664
2017-01-16 09:00:00,BITSTAMP:BTCUSD,821.86,937.74,818.09,923.76,60386.56034769
2017-01-23 09:00:00,BITSTAMP:BTCUSD,923.75,927.57,881.48,912.01,30759.39263187
2017-01-30 09:00:00,BITSTAMP:BTCUSD,913.12,1044.23,910.0,1011.07,48914.77048103
2017-02-06 09:00:00,BITSTAMP:BTCUSD,1010.03,1074.69,913.73,1000.73,63161.77528095
2017-02-13 09:00:00,BITSTAMP:BTCUSD,1000.73,1068.99,975.1,1051.8,33282.25374074
